concurrency,repeat,total_orders,elapsed_s,orders_per_sec
1,1,1000,0.06193109997548163,16146.97624288762
1,2,1000,0.04739629995310679,21098.693378795084
1,3,1000,0.04661910003051162,21450.435537054822
1,4,1000,0.04462330002570525,22409.81727985044
1,5,1000,0.04500199999893084,22221.234612322965
2,1,2000,0.05409029999282211,36975.206280338694
2,2,2000,0.05290029995376244,37806.96899163335
2,3,2000,0.05578960001002997,35848.975429837024
2,4,2000,0.054732599994167686,36541.29349260076
2,5,2000,0.05365739995613694,37273.51682405279
4,1,4000,0.10589730000356212,37772.44556627459
4,2,4000,0.09527729998808354,41982.71781946262
4,3,4000,0.09831640002084896,40684.97218319386
4,4,4000,0.10597949998918921,37743.14844293503
4,5,4000,0.09483539999928325,42178.3426866996
8,1,8000,0.22738480003317818,35182.65072613782
8,2,8000,0.20237740001175553,39530.10563202859
8,3,8000,0.2077481000451371,38508.17407361055
8,4,8000,0.2022747999872081,39550.15652224559
8,5,8000,0.1994144999771379,40117.443821372915
12,1,12000,0.41626510000787675,28827.783063660467
12,2,12000,0.3686392999952659,32552.145146092957
12,3,12000,0.36151419999077916,33193.71687282567
12,4,12000,0.4826458000461571,24862.95332695819
12,5,12000,0.3693449000129476,32489.957217709874
16,1,16000,0.4932039999985136,32440.937218774015
16,2,16000,0.6732511000009254,23765.278660484935
16,3,16000,0.49029250000603497,32633.580974220607
16,4,16000,0.48642109998036176,32893.30993381242
16,5,16000,0.7904928000061773,20240.53856009184
24,1,24000,0.8788674999959767,27307.87064046613
24,2,24000,1.0541359999915585,22767.46074528542
24,3,24000,0.7386890000198036,32489.992404593246
24,4,24000,0.7443286000052467,32243.823493858526
24,5,24000,1.1039943999494426,21739.240707288987
32,1,32000,0.985454099951312,32472.339403307586
32,2,32000,0.990891300025396,32294.15779428062
32,3,32000,1.448862699966412,22086.28878412139
32,4,32000,0.9826274000224657,32565.7517786176
32,5,32000,0.9927151000010781,32234.827494781985
